lemma	POS	freq	declension
поставлять	V	14	
уставать	V	14	
верить	V	14	
пестрый	A	14	
кукла	S	14	1
приговаривать	V	14	
последний	A	14	
сороконожка	S	14	1
скворец	S	14	2
клетка	S	14	1
хобот	S	14	2
танюшка	S	14	1
заинька	S	14	1
убирать	V	14	
покупать	V	14	
левый	A	14	
покрывать	V	14	
страшно	ADV	14	
вещь	S	14	3
предлагать	V	14	
кухня	S	14	1
писать	V	14	
короче	ADV	14	
мячик	S	14	2
ворон	S	14	2
т	S	14	Н
бочка	S	14	1
перо	S	14	2
пир	S	14	2
обертываться	V	14	
баба-яга	S	14	1
ученый	S	14	А
златогривый	A	14	
тегумайский	A	14	
потерять	V	13	
пирог	S	13	2
мести	V	13	
среди	PR	13	
шишка	S	13	1
серебро	S	13	2
лишь	PART	13	
набирать	V	13	
луг	S	13	2
пятачок	S	13	2
дедка	S	13	1
покатиться	V	13	
побегайчик	S	13	2
заглядывать	V	13	
рост	S	13	2
зайти	V	13	
малыш	S	13	2
смочь	V	13	
шубка	S	13	1
даже	CONJ	13	
голый	A	13	
точно	ADV	13	
барабан	S	13	2
пахнуть	V	13	
вьюга	S	13	1
возле	PR	13	
одеваться	V	13	
катя	S	13	1
шум	S	13	2
пчелка	S	13	1
миг	S	13	2
вон	PART	13	
холод	S	13	2
ветвь	S	13	3
мяу	INTJ	13	
школа	S	13	1
хитрый	A	13	
таня	S	13	1
голубь	S	13	2
плясать	V	13	
укусить	V	13	
а	PART	13	
козленок	S	13	2
воротиться	V	13	
чужой	A	13	
никита	S	13	1
около	PR	13	
обманывать	V	13	
опускаться	V	13	
дружба	S	13	1
цвет	S	13	2
рисовать	V	13	
трудно	ADV	13	
где-то	ADVPRO	13	
виноватый	A	13	
март	S	13	2
ковер	S	13	2
взглядывать	V	13	
свежий	A	13	
обратно	ADV	13	
застава	S	13	1
деньги	S	13	T
полянка	S	13	1
казаться	V	13	
почти	ADV	13	
январь	S	13	2
продолжать	V	13	
палец	S	13	2
красота	S	13	1
тотчас	ADV	13	
путешествие	S	13	2
колотить	V	13	
нянюшка	S	13	1
посох	S	13	2
буква	S	13	1
пингвин	S	13	2
де	PART	13	
колдунья	S	13	1
хотение	S	13	2
лаять	V	12	
крошка	S	12	1
горячий	A	12	
подушка	S	12	1
гусь	S	12	2
клубок	S	12	2
мошковский	A	12	
паровоз	S	12	2
грязь	S	12	3
о	INTJ	12	
проситься	V	12	
горка	S	12	1
сколько	CONJ	12	
ложка	S	12	1
рожок	S	12	2
радоваться	V	12	
весенний	A	12	
тронуть	V	12	
жарко	ADV	12	
позвать	V	12	
эх	INTJ	12	
усаживаться	V	12	
накормить	V	12	
стекло	S	12	2
зимний	A	12	
г	S	12	Н
подавать	V	12	
сахар	S	12	2
нравиться	V	12	
хоть	CONJ	12	
протягивать	V	12	
сорвать	V	12	
колючка	S	12	1
уносить	V	12	
сосна	S	12	1
устраивать	V	12	
добывать	V	12	
платок	S	12	2
учиться	V	12	
кустик	S	12	2
сынок	S	12	2
тигр	S	12	2
пес	S	12	2
смерть	S	12	3
ведерко	S	12	2
дергать	V	12	
пустой	A	12	
поливать	V	12	
чай	S	12	2
душа	S	12	1
слава	S	12	1
шапочка	S	12	1
муравей	S	12	2
горько	ADV	12	
ура	INTJ	12	
восток	S	12	2
погодить	V	12	
потихоньку	ADV	12	
десять	NUM	12	
трамвай	S	12	2
поплыть	V	12	
медленно	ADV	12	
письмо	S	12	2
ужасно	ADV	12	
шаг	S	12	2
охотник	S	12	2
являться	V	12	
делаться	V	12	
вид	S	12	2
стеклянный	A	12	
родитель	S	12	2
поздно	ADV	12	
лисица	S	12	1
гораздо	ADV	12	
вверх	ADV	12	
рукав	S	12	2
странный	A	12	
щека	S	12	1
особенно	ADV	12	
василиса	S	12	1
премудрый	A	12	
палуба	S	12	1
